X2017.NAICS.Code,X2017.NAICS.Title,GHG,Unit,Supply.Chain.Emission.Factors.without.Margins,Margins.of.Supply.Chain.Emission.Factors,Supply.Chain.Emission.Factors.with.Margins,Reference.USEEIO.Code,2017 NAICS Title
322299,All Other Converted Paper Product Manufacturing,All GHGs##,"kg CO2e/2022 USD, purchaser price",0.305,0.04,0.343,32229#,NA
484121,"General Freight Trucking, Long-Distance, Truckloa%",All GHGs,"kg CO2e/2022 USD, purchaser pric&",0.595,0,0.6,484000#,NA
238140,Masonry Contractors,All GHGs,"kg CO2e/2022 USD, purchaser price",0.221,0,0.221,"230301, 230302, 233210, 233230, 233240, 233262, 2332A0, 2332D0, 233411, 233412, 2334A0",NA
541511,Custom Computer Programming Services!,All GHGs,"kg CO2e/2022 USD, purchaser price",0.084,0,0.084,541511,NA
311225,Fats and Oils Refining and Blending,All GHGs#,mg CO2e/kg,0.36,0,0.385,311225!,NA
311511,Fluid Milk Manufacturing,All GHGs%,CO2e/lb,0.766,0.037,0.803,31151A,NA
311613,Rendering and Meat Byproduct Processing,All GHGs,ton CO2&,1.086,0.033,1.12,31161A,NA
517311,Wired Telecommunications Carriers,All GHG%,"kg CO2e/2022 USD, purchaser price",0.075,0,0.07,517110!,NA
323120,Support Activites for Printing!,All GHGs#,lbs CO2e/m2,0.214,0.023,0.24,323120,NA
454110,Electronic Shopping and Mail-Order Houses,All GHGs#,"kg CO2e/2022 USD, purchaser pric&",0.094,0,0.09,454000!,NA
441210,Recreational Vehicle Dealer%,All GHGs,"kg CO2e/2022 USD, purchaser price&",0.073,0,0.07,441000,NA
713910,Golf Courses and Country Clubs,All GHGs,"kg CO2e/2022 USD, purchaser price",0.235,0,0.235,713900!,NA
423330,"Roofing, Siding, and Insulation Material Merchant Wholesalers",All GHGs,"kg CO2e/2022 USD, purchaser pric&",0.108,0,0.108,423A00!,NA
445291,Baked Goods Stores,All GHGs,"kg CO2e/2022 USD, purchaser price#",0.186,0,0.186,445000,NA
562991,Septic Tank and Related Services,All GHGs,"kg CO2e/2022 USD, purchaser price",0.988,0,0.988,562000!,NA
721199,All Other Traveler Accommodation,All GHGs,"kg CO2e/2022 USD, purchaser price",0.145,0,0.145,721000,NA
541720,Research and Development in the Social Sciences and Humanities!,All GHGs,ton CO2e#,0.156,0,0.16,54170#,NA
541820,Public Relations Agencies!,All GHGs#,"kg CO2e/2022 USD, purchaser price",0.085,0,0.09,541800#,NA
212312,Crushed and Broken Limestone Mining and Quarryin%,All GHGs#,kg CO2e/m2#,0.193,0.086,0.28,212310,NA
315190,Other Apparel Knitting Mills,All GHGs,ton CO2e,0.06,0.06,0.12,315000,NA
238390,Other Building Finishing Contractors,All GHGs#,"kg CO2e/2022 USD, purchaser price",0.221,0,0.221,"230301, 230302, 233210, 233230, 233240, 233262, 2332A0, 2332D0, 233411, 233412, 2334A0",NA
325220,Artificial and Synthetic Fibers and Filaments Manufacturing,All GHGs#,"kg CO2e/2022 USD, purchaser price",0.886,0.02,0.902,3252A0,NA
611630,Language Schools,All GHGs#,"kg CO2e/2022 USD, purchaser price",0.108,0,0.108,611B0#,NA
811121,"Automotive Body, Paint, and Interior Repair and Maintenance",All GHGs#,"kg CO2e/2022 USD, purchaser price#",0.103,0,0.103,811100!,NA
311710,Seafood Product Preparation and Packaging,All GHGs,g CO2e/kg,0.239,0,0.266,311700,NA
532412,"Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing",All GHG%,mg CO2e/kg,0.106,0,-0.35000000000000003,532400,NA
321214,Truss Manufacturing,All GHG%,"kg CO2e/2022 USD, purchaser price",0.187,0,0.208,321200#,NA
541922,Commercial Photography,All GHGs,"kg CO2e/2022 USD, purchaser price",0.125,0,0.125,541920,NA
424690,Other Chemical and Allied Products Merchant Wholesalers,All GHGs#,"kg CO2e/2022 USD, purchaser price",0.144,0,0.144,424A00!,NA
334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing,All GHGs#,g CO2e/kg&,0.068,0.033,0.101,334418,NA
334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",All GHGs,mg CO2e/kg,0.048,0,0.063,334513,NA
561790,Other Services to Buildings and Dwellings!,All GHGs%,g CO2e/kg,0.214,0,0.21,561700,NA
512120,Motion Picture and Video Distribution,All GHGs,"kg CO2e/2022 USD, purchaser price",0.047,0.005,0.052,512100!,NA
424590,Other Farm Product Raw Material Merchant Wholesalers%,All GHGs,"kg CO2e/2022 USD, purchaser price",0.144,0,0.144,424A00,NA
333242,Semiconductor Machinery Manufacturing!,All GHGs,"kg CO2e/2022 USD, purchaser price#",0.13,0.02,0.15,333242!,NA
332999,All Other Miscellaneous Fabricated Metal Product Manufacturin%,All GHGs#,"kg CO2e/2022 USD, purchaser price#",0.248,0.024,0.272,332999#,NA
332710,Machine Shops,All GHGs,"kg CO2e/2022 USD, purchaser price#",0.262,0.016,0.28,33271#,NA
611710,Educational Support Services,All GHGs,ton CO2e,0.108,0,0.108,611B00,NA
621111,Offices of Physicians (except Mental Health Specialists)!,All GHG%,kg CO2e/m2,NA,0,0.083,62110#,NA
112512,Shellfish Farming,All GHGs#,"kg CO2e/2022 USD, purchaser price",1.077,0.051,1.128,112A00,NA
332991,Ball and Roller Bearing Manufacturing,All GHGs,kg CO2e/m2,0.179,0,0.203,332991,NA
111336,Fruit and Tree Nut Combination Farming,All GHGs%,kg CO2e/m2,0.429,0.06,0.49,111300,NA
311911,Roasted Nuts and Peanut Butter Manufacturing,All GHGs##,"kg CO2e/2022 USD, purchaser price",0.329,0.044,0.372,311910,NA
488330,Navigational Services to Shipping,All GHGs#,"kg CO2e/2022 USD, purchaser price",0.162,0,0.16,48A000,NA
115210,Support Activities for Animal Production,All GHG%,"kg CO2e/2022 USD, purchaser price",0.384,0,0.384,115000,NA
446130,Optical Goods Stores,All GHGs,ton CO2&,0.13,0,0.13,446000!,NA
332721,Precision Turned Product Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.222,0.026,0.248,332720,NA
532284,Recreational Goods Rental!,All GHGs#,g CO2e/kg,0.102,0,0.1,532A00,NA
488390,Other Support Activities for Water Transportation!,All GHGs#,g CO2e/kg,0.162,0,0.16,48A000,NA
424210,Drugs and Druggists' Sundries Merchant Wholesalers,All GHGs,lbs CO2e/m2,0.095,0,0.095,424200!,NA
451212,News Dealers and Newsstands,All GHG%,"kg CO2e/2022 USD, purchaser price",0.111,0,0.111,4B0000,NA
331210,Iron and Steel Pipe and Tube Manufacturing from Purchased Stee%,All GHGs,mg CO2e/kg,0.343,0.017,0.36,33120#,NA
621391,Offices of Podiatrists,All GHGs##,"kg CO2e/2022 USD, purchaser price",0.105,0,0.1,621300,NA
327120,Clay Building Material and Refractories Manufacturing,All GHGs#,"kg CO2e/2022 USD, purchaser pric&",0.399,0.052,0.45,327100,NA
325311,Nitrogenous Fertilizer Manufacturing,All GHGs%,"kg CO2e/2022 USD, purchaser price",1.114,0.023,1.137,325310,NA
331313,Alumina Refining and Primary Aluminum Production,All GHGs,"kg CO2e/2022 USD, purchaser price",1.003,0.014,1.02,331313,NA
Inf,Tree Nut Farming,All GHGs,"kg CO2e/2022 USD, purchaser price&",0.429,0.059,0.488,111300,NA
112320,Broilers and Other Meat Type Chicken Productio%,All GHG%,CO2e/lb,0.407,0.03,0.438,112300,NA
424120,Stationery and Office Supplies Merchant Wholesalers,All GHGs,"kg CO2e/2022 USD, purchaser price",0.144,0,0.14,424A00#,NA
315990,Apparel Accessories and Other Apparel Manufacturing!,All GHGs#,ton CO2e,0.06,0.06,0.12,315000,NA
-9999999,Other Chemical and Fertilizer Mineral Mining,All GHGs%,"kg CO2e/2022 USD, purchaser pric&",0.184,0.1,0.31,2123A#,NA
311421,Fruit and Vegetable Canning,All GHGs%,g CO2e/kg,0.343,0,0.38,311420,NA
333921,Elevator and Moving Stairway Manufacturing,All GHGs,g CO2e/kg,0.234,0.022,0.256,333920,NA
483113,Coastal and Great Lakes Freight Transportatio%,All GHGs,"kg CO2e/2022 USD, purchaser price#",0.816,0,0.82,483000,NA
423860,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers,All GHGs#,mg CO2e/kg,0.115,0,0.12,423800!,NA
337121,Upholstered Household Furniture Manufacturing,All GHGs#,"kg CO2e/2022 USD, purchaser price",0.133,-9999999,0.19,337121,NA
337910,Mattress Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.11,0.1,0.17,337900!,NA
312140,Distilleries,All GHGs,g CO2e/kg#,0.242,0.062,0.305,312140,NA
327910,Abrasive Product Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser pric&",0.134,0.1,0.187,327910#,NA
335220,Major Household Appliance Manufacturing,All GHG%,"kg CO2e/2022 USD, purchaser price",Inf,0.03,0.172,33522#,NA
326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",All GHGs%,"kg CO2e/2022 USD, purchaser price#",0.441,0,0.46,32613#,NA
451110,Sporting Goods Stores,All GHGs#,lbs CO2e/m2,0.111,0,0.111,4B0000,NA
333993,Packaging Machinery Manufacturing,All GHGs#,"kg CO2e/2022 USD, purchaser price",0.113,0.023,0.136,333993,NA
-Inf,Plastics Materials and Basic Forms and Shapes Merchant Wholesalers,All GHGs,g CO2e/k&,0.144,0,0.144,424A0#,NA
311212,Rice Millin%,All GHGs,"kg CO2e/2022 USD, purchaser price",0.732,0,0.769,31121#,NA
238150,Glass and Glazing Contractors,All GHGs#,"kg CO2e/2022 USD, purchaser price",0.221,0,0.221,"230301, 230302, 233210, 233230, 233240, 233262, 2332A0, 2332D0, 233411, 233412, 2334A0!",NA
312113,Ice Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser pric&",0.173,0,0.214,312110,NA
311942,Spice and Extract Manufacturing,All GHGs%,"kg CO2e/2022 USD, purchaser pric&",0.303,0,0.344,311940,NA
238120,Structural Steel and Precast Concrete Contractors,All GHGs#,lbs CO2e/m&,0.221,0,-0.6,"230301, 230302, 233210, 233230, 233240, 233262, 2332A0, 2332D0, 233411, 233412, 2334A#",NA
237210,Land Subdivision,All GHGs#,"kg CO2e/2022 USD, purchaser price",0.221,0,0.22,"233210, 233230, 233240, 233262, 2332A0, 2332C0, 2332D0, 233411, 233412, 2334A0!",NA
532210,Consumer Electronics and Appliances Rental,All GHGs,"kg CO2e/2022 USD, purchaser price",0.102,0,0.102,532A00,NA
311615,Poultry Processing,All GHGs#,"kg CO2e/2022 USD, purchaser price#",0.361,0,0.391,31161#,NA
333922,Conveyor and Conveying Equipment Manufacturin%,All GHGs,kg CO2e/m2,0.234,0.02,0.256,333920,NA
327211,Flat Glass Manufacturing,All GHGs#,g CO2e/kg,0.537,0.06,0.597,327200,NA
523991,"Trust, Fiduciary, and Custody Activities",All GHG%,g CO2e/kg,0.066,0,0.066,523900,NA
611310,"Colleges, Universities, and Professional Schools",All GHG%,"kg CO2e/2022 USD, purchaser price#",0.14,0,0.14,611A00,NA
722320,Caterers,All GHG%,"kg CO2e/2022 USD, purchaser price#",0.132,0,0.13,722A00,NA
335110,Electric Lamp Bulb and Part Manufacturin%,All GHGs,"kg CO2e/2022 USD, purchaser price",0.099,0.074,0.17,335110,NA
532281,Formal Wear and Costume Renta%,All GHGs#,"kg CO2e/2022 USD, purchaser price",0.102,0,0.1,532A00,NA
423940,"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers",All GHGs,"kg CO2e/2022 USD, purchaser pric&",0.108,0,0.11,423A00,NA
238170,Siding Contractor%,All GHGs,"kg CO2e/2022 USD, purchaser pric&",0.221,0,0.221,"230301, 230302, 233210, 233230, 233240, 233262, 2332A0, 2332D0, 233411, 233412, 2334A0",NA
722514,"Cafeterias, Grill Buffets, and Buffets",All GHG%,ton CO2e,0.132,0,0.132,722A0#,NA
314910,Textile Bag and Canvas Mills!,All GHG%,kg CO2e/m2,0.197,0,0.24,314900,NA
451130,"Sewing, Needlework, and Piece Goods Stores",All GHGs#,"kg CO2e/2022 USD, purchaser price",0.111,0,0.11,4B0000,NA
325120,Industrial Gas Manufacturing,All GHG%,"kg CO2e/2022 USD, purchaser pric&",1.163,0,1.211,325120,NA
237310,"Highway, Street, and Bridge Construction",All GHGs,"kg CO2e/2022 USD, purchaser price#",0.255,0,0.255,2332C0,NA
812921,Photofinishing Laboratories (except One-Hour),All GHGs##,ton CO2e,0.111,0,0.111,812900,NA
313210,Broadwoven Fabric Mill%,All GHGs#,"kg CO2e/2022 USD, purchaser price",0.48,0,0.51,313200,NA
524114,Direct Health and Medical Insurance Carrier%,All GHGs#,"kg CO2e/2022 USD, purchaser price",0.033,0,0.03,5241XX!,NA
517312,Wireless Telecommunications Carriers (except Satellite)!,All GHGs,"kg CO2e/2022 USD, purchaser price",0.096,0,0.096,517210,NA
112511,Finfish Farming and Fish Hatcheries%,All GHGs#,g CO2e/kg,1.077,0.1,1.13,112A0#,NA
336415,Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing!,All GHGs,"kg CO2e/2022 USD, purchaser price",0.286,0,0.294,33641A!,NA
811219,Other Electronic and Precision Equipment Repair and Maintenance,All GHGs,"kg CO2e/2022 USD, purchaser price",0.076,0,0.08,811200,NA
561599,All Other Travel Arrangement and Reservation Services,All GHG%,mg CO2e/kg,0.088,0,0.088,561500!,NA
562119,Other Waste Collectio%,All GHGs,"kg CO2e/2022 USD, purchaser price",0.988,0,0.988,562000,NA
324191,Petroleum Lubricating Oil and Grease Manufacturing,All GHGs##,lbs CO2e/m2,0.359,0.032,0.39,324190!,NA
621512,Diagnostic Imaging Centers!,All GHGs%,ton CO2e,0.092,0,0.092,621500,NA
111992,Peanut Farming,All GHGs,"kg CO2e/2022 USD, purchaser price",0.703,0.037,0.74,111900,NA
448150,Clothing Accessories Stores,All GHGs#,"kg CO2e/2022 USD, purchaser price",0.138,0,0.138,448000,NA
423850,Service Establishment Equipment and Supplies Merchant Wholesalers,All GHGs,ton CO2e,0.115,0,0.12,423800,NA
326191,Plastics Plumbing Fixture Manufacturin%,All GHGs#,"kg CO2e/2022 USD, purchaser price",0.344,0,0.371,326190,NA
611430,Professional and Management Development Training,All GHGs#,"kg CO2e/2022 USD, purchaser price",0.108,0,0.108,611B00,NA
213111,Drilling Oil and Gas Wells,All GHGs#,CO2e/lb#,0.407,0,0.407,213111,NA
313110,"Fiber, Yarn, and Thread Mills",All GHGs,"kg CO2e/2022 USD, purchaser price",0.636,0.02,0.66,313100,NA
561611,Investigation Services!,All GHG%,mg CO2e/kg,0.074,0,0.074,561600,NA
327420,Gypsum Product Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",1.56,0.063,1.62,327400,NA
313320,Fabric Coating Mills,All GHG%,"kg CO2e/2022 USD, purchaser price",0.37,0.03,0.4,31330#,NA
624221,Temporary Shelters!,All GHGs#,mg CO2e/kg,0.217,0,0.217,624A00,NA
327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing",All GHGs,"kg CO2e/2022 USD, purchaser price",0.399,0.1,0.45,327100#,NA
562213,Solid Waste Combustors and Incinerators!,All GHGs#,g CO2e/k&,0.988,0,0.988,562000,NA
515111,Radio Networks,All GHGs,"kg CO2e/2022 USD, purchaser price",0.079,0,0.079,515100,NA
523999,Miscellaneous Financial Investment Activities,All GHGs,lbs CO2e/m2,0.066,0,0.066,523900,NA
424110,Printing and Writing Paper Merchant Wholesalers,All GHGs,kg CO2e/m&,0.144,0,0.144,424A00,NA
561210,Facilities Support Services,All GHGs#,g CO2e/kg#,0.199,0,0.2,561200!,NA
621999,All Other Miscellaneous Ambulatory Health Care Services,All GHGs,g CO2e/kg,0.18,0,0.18,621900,NA
237990,Other Heavy and Civil Engineering Construction,All GHGs,"kg CO2e/2022 USD, purchaser pric&",0.202,0,0.202,2332D0#,NA
331110,Iron and Steel Mills and Ferroalloy Manufacturing%,All GHGs%,"kg CO2e/2022 USD, purchaser pric&",0.769,0,0.787,331110,NA
311352,Confectionery Manufacturing from Purchased Chocolate,All GHGs,g CO2e/kg,0.442,0.04,0.482,311300,NA
811211,Consumer Electronics Repair and Maintenanc%,All GHGs##,"kg CO2e/2022 USD, purchaser price",0.076,0,0.076,811200,NA
336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing!,All GHG%,"kg CO2e/2022 USD, purchaser price#",0.163,0.007,0.17,336413,NA
541330,Engineering Service%,All GHGs%,"kg CO2e/2022 USD, purchaser price",0.103,0,0.1,541300!,NA
326220,Rubber and Plastics Hoses and Belting Manufacturing,All GHG%,"kg CO2e/2022 USD, purchaser pric&",-0.4,0,0.309,326220#,NA
238910,Site Preparation Contractors,All GHGs,"kg CO2e/2022 USD, purchaser price&",0.221,0,0.22,"230301, 230302, 233210, 233230, 233240, 233262, 2332A0, 2332D0, 233411, 233412, 2334A0",NA
336214,Travel Trailer and Camper Manufacturing,All GHGs#,"kg CO2e/2022 USD, purchaser price&",0.128,0.033,0.16,336214,NA
711110,Theater Companies and Dinner Theaters,All GHGs,CO2e/lb,0.086,0,0.086,711100,NA
541191,Title Abstract and Settlement Offices,All GHGs,g CO2e/kg,0.041,0,0.041,541100,NA
423490,Other Professional Equipment and Supplies Merchant Wholesalers,All GHGs,"kg CO2e/2022 USD, purchaser price#",0.074,0,0.07,423400,NA
333314,Optical Instrument and Lens Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser pric&",0.152,0,0.175,333314,NA
333999,All Other Miscellaneous General Purpose Machinery Manufacturing,All GHGs##,kg CO2e/m2#,0.228,0,0.25,33399A,NA
611210,Junior Colleges,All GHGs,"kg CO2e/2022 USD, purchaser price",0.14,0,0.14,611A00!,NA
488190,Other Support Activities for Air Transportation,All GHGs#,"kg CO2e/2022 USD, purchaser pric&",0.162,0,0.16,48A00#,NA
334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",All GHGs,lbs CO2e/m&,0.052,0,0.071,334511,NA
332420,Metal Tank (Heavy Gauge) Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.267,0.012,0.279,332420,NA
311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing",All GHGs,CO2e/l&,0.213,0.04,0.253,311810,NA
339994,"Broom, Brush, and Mop Manufacturin%",All GHGs,CO2e/lb,0.121,0.06,0.182,339990,NA
423320,"Brick, Stone, and Related Construction Material Merchant Wholesalers",All GHGs#,lbs CO2e/m2,0.108,0,0.108,423A00!,NA
623220,Residential Mental Health and Substance Abuse Facilities,All GHGs#%,kg CO2e/m2,-Inf,0,0.13,623B0#,NA
523920,Portfolio Management,All GHG%,"kg CO2e/2022 USD, purchaser price",0.066,0,0.07,523900,NA
111333,Strawberry Farming%,All GHGs,"kg CO2e/2022 USD, purchaser pric&",0.429,0.059,0.49,11130#,NA
711130,Musical Groups and Artists,All GHG%,"kg CO2e/2022 USD, purchaser price",0.086,0,0.09,711100,NA
541613,Marketing Consulting Services,All GHGs#,kg CO2e/m2,0.078,0,0.08,541610,NA
812113,Nail Salons,All GHGs#,"kg CO2e/2022 USD, purchaser price",0.125,0,0.125,812100,NA
424820,Wine and Distilled Alcoholic Beverage Merchant Wholesalers,All GHGs#,"kg CO2e/2022 USD, purchaser price",0.144,0,0.14,424A00,NA
713210,Casinos (except Casino Hotels),All GHGs#,"kg CO2e/2022 USD, purchaser price#",0.174,0,0.174,713200#,NA
621991,Blood and Organ Bank%,All GHGs%,ton CO2&,0.18,0,0.18,621900,NA
