2017.NAICS.Code,2017.NAICS.Title,GHG,Unit,Supply.Chain.Emission.Factors.without.Margins,Margins.of.Supply.Chain.Emission.Factors,Supply.Chain.Emission.Factors.with.Margins,Reference.USEEIO.Code
"111,339",Other Noncitrus Fruit Farming,All GHG,"kg CO2e/2022 USD, purchaser price",0.429,0.059,0.49,111300
"111,411",Mushroom Productio,All GHGs,"kg CO2e/2022 USD, purchaser price",0.266,0.041,0.307,111400
"111,419",Other Food Crops Grown Under Cover,All GHG,"kg CO2e/2022 USD, purchaser price",0.266,0.0,0.31,111400
"111,421",Nursery and Tree Production,All GHGs,"kg CO2e/2022 USD, purchaser price",0.266,0.0,0.307,111400
"111,422",Floriculture Production,All GHGs,"kg CO2e/2022 USD, purchaser price",0.266,0.0,0.31,111400
"111,910",Tobacco Farming,All GHGs,"kg CO2e/2022 USD, purchaser price",0.703,0.0,0.74,111900
"111,920",Cotton Farming,All GHGs,"kg CO2e/2022 USD, purchaser price",0.703,0.0,0.74,111900
"111,930",Sugarcane Farmin,All GHGs,"kg CO2e/2022 USD, purchaser price",0.703,0.0,0.74,111900
"111,930",Sugarcane Farming,All GHG,"kg CO2e/2022 USD, purchaser price",0.703,0.0,0.74,111900
"111,940",Hay Farming,All GHG,"kg CO2e/2022 USD, purchaser price",0.703,0.0,0.74,111900
"111,991",Sugar Beet Farming,All GHGs,"kg CO2e/2022 USD, purchaser price",0.703,0.0,0.74,111900
"111,991",Sugar Beet Farming,All GHGs,"kg CO2e/2022 USD, purchaser price",0.703,0.0,0.74,111900
"111,992",Peanut Farming,All GHGs,"kg CO2e/2022 USD, purchaser price",0.703,0.037,0.74,111900
"111,998",All Other Miscellaneous Crop Farming,All GHGs,"kg CO2e/2022 USD, purchaser price",0.703,0.04,0.74,111900
"112,111",Beef Cattle Ranching and Farming,All GHGs,"kg CO2e/2022 USD, purchaser price",2.847,0.04,2.893,11210A
"112,112",Cattle Feedlots,All GHGs,"kg CO2e/2022 USD, purchaser price",2.847,0.045,2.893,11210A
"112,120",Dairy Cattle and Milk Production,All GHGs,"kg CO2e/2022 USD, purchaser price",1.682,0.042,1.724,112120
"112,130",Dual-Purpose Cattle Ranching and Farmin,All GHGs,"kg CO2e/2022 USD, purchaser price",2.847,0.045,2.893,11210A
"112,210",Hog and Pig Farmin,All GHGs,"kg CO2e/2022 USD, purchaser price",1.077,0.051,1.128,11200A
"112,310",Chicken Egg Production,All GHGs,"kg CO2e/2022 USD, purchaser price",0.407,0.031,0.44,112300
"112,320",Broilers and Other Meat Type Chicken Productio,All GHG,"kg CO2e/2022 USD, purchaser price",0.407,0.03,0.438,112300
"112,330",Turkey Production,All GHGs,"kg CO2e/2022 USD, purchaser price",0.407,0.0,0.438,112300
"112,340",Poultry Hatcheries,All GHG,"kg CO2e/2022 USD, purchaser price",0.407,0.031,0.438,112300
"112,390",Other Poultry Production,All GHGs,"kg CO2e/2022 USD, purchaser price",0.407,0.03,0.438,112300
"112,410",Sheep Farming,All GHGs,"kg CO2e/2022 USD, purchaser price",1.077,0.051,1.128,11200A
"112,420",Goat Farming,All GHG,"kg CO2e/2022 USD, purchaser price",1.077,0.051,1.13,11200A
"112,511",Finfish Farming and Fish Hatcheries,All GHGs,"kg CO2e/2022 USD, purchaser price",1.077,0.1,1.13,11200A
"112,511",Finfish Farming and Fish Hatcheries,All GHGs,"kg CO2e/2022 USD, purchaser price",1.077,0.1,1.13,11200A
"112,512",Shellfish Farming,All GHGs,"kg CO2e/2022 USD, purchaser price",1.077,0.051,1.128,11200A
"112,519",Other Aquaculture,All GHGs,"kg CO2e/2022 USD, purchaser price",1.077,0.051,1.128,11200A
"112,910",Apiculture,All GHGs,"kg CO2e/2022 USD, purchaser price",1.077,0.05,1.128,11200A
"112,920",Horses and Other Equine Productio,All GHGs,"kg CO2e/2022 USD, purchaser price",1.077,0.1,1.128,11200A
"112,930",Fur-Bearing Animal and Rabbit Production,All GHGs,"kg CO2e/2022 USD, purchaser price",1.077,0.1,1.128,11200A
"112,990",All Other Animal Production,All GHG,"kg CO2e/2022 USD, purchaser price",1.077,0.1,1.13,11200A
"113,110",Timber Tract Operations,All GHGs,"kg CO2e/2022 USD, purchaser price",0.199,0.04,0.243,113000
"113,210",Forest Nurseries and Gathering of Forest Products,All GHGs,"kg CO2e/2022 USD, purchaser price",0.199,0.0,0.24,113000
"113,310",Logging,All GHGs,"kg CO2e/2022 USD, purchaser price",0.199,0.045,0.24,113000
"114,111",Finfish Fishing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.127,0.027,0.154,114000
"114,112",Shellfish Fishing,All GHG,"kg CO2e/2022 USD, purchaser price",0.127,0.0,0.154,114000
"114,119",Other Marine Fishing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.127,0.0,0.15,114000
"114,210",Hunting and Trapping,All GHGs,"kg CO2e/2022 USD, purchaser price",0.127,0.03,0.154,114000
"115,111",Cotton Ginnin,All GHGs,"kg CO2e/2022 USD, purchaser price",0.384,0.0,0.384,115000
"115,112","Soil Preparation, Planting, and Cultivatin",All GHGs,"kg CO2e/2022 USD, purchaser price",0.384,0.0,0.384,115000
"115,113","Crop Harvesting, Primarily by Machine",All GHG,"kg CO2e/2022 USD, purchaser price",0.384,0.0,0.384,115000
"115,114",Postharvest Crop Activities (except Cotton Ginning),All GHGs,"kg CO2e/2022 USD, purchaser price",0.384,0.0,0.384,115000
"115,115",Farm Labor Contractors and Crew Leaders,All GHGs,"kg CO2e/2022 USD, purchaser price",0.384,0.0,0.384,115000
"115,116",Farm Management Services,All GHGs,"kg CO2e/2022 USD, purchaser price",0.384,0.0,0.384,115000
"115,210",Support Activities for Animal Production,All GHG,"kg CO2e/2022 USD, purchaser price",0.384,0.0,0.384,115000
"115,310",Support Activities for Forestry,All GHGs,"kg CO2e/2022 USD, purchaser price",0.384,0.0,0.384,115000
"211,120",Crude Petroleum Extraction,All GHGs,"kg CO2e/2022 USD, purchaser price",0.377,0.0,0.405,211000
"211,130",Natural Gas Extraction,All GHGs,"kg CO2e/2022 USD, purchaser price",0.377,0.03,0.405,211000
"212,111",Bituminous Coal and Lignite Surface Mining,All GHGs,"kg CO2e/2022 USD, purchaser price",0.747,0.094,0.841,212100
"212,112",Bituminous Coal Underground Mining,All GHGs,"kg CO2e/2022 USD, purchaser price",0.747,0.09,0.841,212100
"212,113",Anthracite Mining,All GHGs,"kg CO2e/2022 USD, purchaser price",0.747,0.09,0.841,212100
"212,210",Iron Ore Mining,All GHGs,"kg CO2e/2022 USD, purchaser price",0.54,0.1,0.593,21220A
"212,221",Gold Ore Mining,All GHGs,"kg CO2e/2022 USD, purchaser price",0.54,0.054,0.593,21220A
"212,230","Copper, Nickel, Lead, and Zinc Mining",All GHGs,"kg CO2e/2022 USD, purchaser price",0.27,0.1,0.32,212230
"212,291",Uranium-Radium-Vanadium Ore Minin,All GHG,"kg CO2e/2022 USD, purchaser price",0.54,0.1,0.593,21220A
"212,299",All Other Metal Ore Mining,All GHGs,"kg CO2e/2022 USD, purchaser price",0.54,0.054,0.593,21220A
"212,311",Dimension Stone Mining and Quarrying,All GHGs,"kg CO2e/2022 USD, purchaser price",0.193,0.1,0.279,212310
"212,312",Crushed and Broken Limestone Mining and Quarryin,All GHGs,"kg CO2e/2022 USD, purchaser price",0.193,0.086,0.28,212310
"212,313",Crushed and Broken Granite Mining and Quarrying,All GHGs,"kg CO2e/2022 USD, purchaser price",0.193,0.086,0.279,212310
"212,313",Crushed and Broken Granite Mining and Quarrying,All GHG,"kg CO2e/2022 USD, purchaser price",0.193,0.09,0.555,212310
"212,321",Construction Sand and Gravel Minin,All GHGs,"kg CO2e/2022 USD, purchaser price",0.184,0.125,0.309,21230A
"212,321",Construction Sand and Gravel Mining,All GHGs,"kg CO2e/2022 USD, purchaser price",0.184,0.125,0.309,21230A
"212,322",Industrial Sand Mining,All GHGs,"kg CO2e/2022 USD, purchaser price",0.184,0.125,0.309,21230A
"212,324",Kaolin and Ball Clay Mining,All GHGs,"kg CO2e/2022 USD, purchaser price",0.184,0.125,0.309,21230A
"212,324",Kaolin and Ball Clay Mining,All GHGs,"kg CO2e/2022 USD, purchaser price",0.184,0.125,0.309,21230A
"212,325",Clay and Ceramic and Refractory Minerals Mining,All GHGs,"kg CO2e/2022 USD, purchaser price",0.184,0.125,0.309,21230A
"212,325",Clay and Ceramic and Refractory Minerals Mining,All GHGs,"kg CO2e/2022 USD, purchaser price",0.184,0.125,0.309,21230A
"212,391","Potash, Soda, and Borate Mineral Mining",All GHGs,"kg CO2e/2022 USD, purchaser price",0.184,0.125,0.309,21230A
"212,392",Phosphate Rock Mining,All GHGs,"kg CO2e/2022 USD, purchaser price",0.184,0.125,0.309,21230A
"212,399",All Other Nonmetallic Mineral Mining,All GHGs,"kg CO2e/2022 USD, purchaser price",0.184,0.125,0.309,21230A
"212,399",All Other Nonmetallic Mineral Mining,All GHGs,"kg CO2e/2022 USD, purchaser price",0.184,0.125,0.309,21230A
"213,111",Drilling Oil and Gas Wells,All GHGs,"kg CO2e/2022 USD, purchaser price",0.407,0.0,0.407,213111
"213,112",Support Activities for Oil and Gas Operations,All GHGs,"kg CO2e/2022 USD, purchaser price",0.372,0.0,0.372,21311A
"213,113",Support Activities for Coal Mining,All GHGs,"kg CO2e/2022 USD, purchaser price",0.372,0.0,0.372,21311A
"213,114",Support Activities for Metal Mining,All GHGs,"kg CO2e/2022 USD, purchaser price",0.372,0.0,0.37,21311A
"213,115",Support Activities for Nonmetallic Minerals (except Fuels) Mining,All GHG,"kg CO2e/2022 USD, purchaser price",0.372,0.0,0.372,21311A
"221,210",Natural Gas Distribution,All GHGs,"kg CO2e/2022 USD, purchaser price",0.532,0.0,0.532,221200
"221,310",Water Supply and Irrigation Systems,All GHGs,"kg CO2e/2022 USD, purchaser price",0.578,0.0,0.578,221300
"221,320",Sewage Treatment Facilities,All GHGs,"kg CO2e/2022 USD, purchaser price",0.578,0.0,0.578,221300
"221,330",Steam and Air-Conditioning Supply,All GHGs,"kg CO2e/2022 USD, purchaser price",0.578,0.0,0.578,221300
"236,115",New Single-Family Housing Construction (except For-Sale Builders),All GHGs,"kg CO2e/2022 USD, purchaser price",0.194,0.0,0.194,233411
"236,116",New Multifamily Housing Construction (except For-Sale Builders),All GHGs,"kg CO2e/2022 USD, purchaser price",0.221,0.0,0.221,233412
"236,117",New Housing For-Sale Builders,All GHGs,"kg CO2e/2022 USD, purchaser price",0.216,0.0,0.216,233411
"236,118",Residential Remodelers,All GHGs,"kg CO2e/2022 USD, purchaser price",0.211,0.0,0.211,230302
"236,210",Industrial Building Construction,All GHG,"kg CO2e/2022 USD, purchaser price",0.239,0.0,0.24,230301
"236,220",Commercial and Institutional Building Construction,All GHGs,"kg CO2e/2022 USD, purchaser price",0.224,0.0,0.224,230301
"236,220",Commercial and Institutional Building Construction,All GHGs,"kg CO2e/2022 USD, purchaser price",0.224,0.0,0.224,230301
"237,110",Water and Sewer Line and Related Structures Construction,All GHGs,"kg CO2e/2022 USD, purchaser price",0.96,0.0,0.277,233240
"237,120",Oil and Gas Pipeline and Related Structures Construction,All GHGs,"kg CO2e/2022 USD, purchaser price",0.277,0.0,0.277,233240
"237,130",Power and Communication Line and Related Structures Construction,All GHGs,"kg CO2e/2022 USD, purchaser price",0.277,0.0,0.277,233240
"237,210",Land Subdivision,All GHGs,"kg CO2e/2022 USD, purchaser price",0.221,0.0,0.22,233210
"237,310","Highway, Street, and Bridge Construction",All GHGs,"kg CO2e/2022 USD, purchaser price",0.255,0.0,0.255,23320C
"237,990",Other Heavy and Civil Engineering Construction,All GHGs,"kg CO2e/2022 USD, purchaser price",0.202,0.0,0.202,23320D
"238,110",Poured Concrete Foundation and Structure Contractors,All GHGs,"kg CO2e/2022 USD, purchaser price",0.221,0.0,0.221,230301
"238,120",Structural Steel and Precast Concrete Contractors,All GHGs,"kg CO2e/2022 USD, purchaser price",0.221,0.0,0.6,230301
"238,120",Structural Steel and Precast Concrete Contractors,All GHGs,"kg CO2e/2022 USD, purchaser price",0.221,0.0,0.6,230301
"238,130",Framing Contractors,All GHGs,"kg CO2e/2022 USD, purchaser price",0.221,0.0,0.221,230301
"238,140",Masonry Contractors,All GHGs,"kg CO2e/2022 USD, purchaser price",0.221,0.0,0.221,230301
"238,140",Masonry Contractors,All GHGs,"kg CO2e/2022 USD, purchaser price",0.221,0.0,0.221,230301
"238,150",Glass and Glazing Contractors,All GHGs,"kg CO2e/2022 USD, purchaser price",0.221,0.0,0.221,230301
"238,160",Roofing Contractors,All GHG,"kg CO2e/2022 USD, purchaser price",0.221,0.0,0.22,230301
"238,170",Siding Contractor,All GHGs,"kg CO2e/2022 USD, purchaser price",0.221,0.0,0.221,230301
"238,190","Other Foundation, Structure, and Building Exterior Contractors",All GHGs,"kg CO2e/2022 USD, purchaser price",0.221,0.0,0.221,230301
"238,210",Electrical Contractors and Other Wiring Installation Contractors,All GHGs,"kg CO2e/2022 USD, purchaser price",0.221,0.0,0.221,230301
"238,220","Plumbing, Heating, and Air-Conditioning Contractors",All GHG,"kg CO2e/2022 USD, purchaser price",0.221,0.0,0.22,230301
"238,290",Other Building Equipment Contractors,All GHGs,"kg CO2e/2022 USD, purchaser price",0.221,0.0,0.221,230301
"238,310",Drywall and Insulation Contractors,All GHGs,"kg CO2e/2022 USD, purchaser price",0.221,0.0,0.22,230301
"238,320",Painting and Wall Covering Contractors,All GHGs,"kg CO2e/2022 USD, purchaser price",0.221,0.0,0.221,230301
"238,330",Flooring Contractors,All GHGs,"kg CO2e/2022 USD, purchaser price",0.221,0.0,0.221,230301
"238,340",Tile and Terrazzo Contractors,All GHGs,"kg CO2e/2022 USD, purchaser price",0.221,0.0,0.221,230301
"238,350",Finish Carpentry Contractors,All GHGs,"kg CO2e/2022 USD, purchaser price",0.221,0.0,0.22,230301
"238,390",Other Building Finishing Contractors,All GHGs,"kg CO2e/2022 USD, purchaser price",0.221,0.0,0.221,230301
"238,390",Other Building Finishing Contractors,All GHGs,"kg CO2e/2022 USD, purchaser price",0.221,0.0,0.221,230301
"238,910",Site Preparation Contractors,All GHGs,"kg CO2e/2022 USD, purchaser price",0.221,0.0,0.22,230301
"238,990",All Other Specialty Trade Contractors,All GHGs,"kg CO2e/2022 USD, purchaser price",0.221,0.0,0.22,230301
"311,111",Dog and Cat Food Manufacturin,All GHGs,"kg CO2e/2022 USD, purchaser price",0.282,0.1,0.333,311111
"311,119",Other Animal Food Manufacturin,All GHGs,"kg CO2e/2022 USD, purchaser price",0.428,0.031,0.459,311119
"311,211",Flour Milling,All GHGs,"kg CO2e/2022 USD, purchaser price",0.732,0.0,0.769,311210
"311,212",Rice Millin,All GHGs,"kg CO2e/2022 USD, purchaser price",0.732,0.0,0.769,311210
"311,213",Malt Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.732,0.0,0.769,311210
"311,221",Wet Corn Milling,All GHGs,"kg CO2e/2022 USD, purchaser price",0.956,0.04,0.993,311221
"311,224",Soybean and Other Oilseed Processing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.481,0.0,0.511,311224
"311,225",Fats and Oils Refining and Blending,All GHGs,"kg CO2e/2022 USD, purchaser price",0.36,0.0,0.385,311225
"311,230",Breakfast Cereal Manufacturin,All GHGs,"kg CO2e/2022 USD, purchaser price",0.423,0.05,0.47,311230
"311,313",Beet Sugar Manufacturin,All GHGs,"kg CO2e/2022 USD, purchaser price",0.442,0.04,0.482,311300
"311,314",Cane Sugar Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.442,0.04,0.482,311300
"311,340",Nonchocolate Confectionery Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.442,0.0,0.482,311300
"311,351",Chocolate and Confectionery Manufacturing from Cacao Beans,All GHGs,"kg CO2e/2022 USD, purchaser price",0.442,0.0,0.48,311300
"311,352",Confectionery Manufacturing from Purchased Chocolate,All GHGs,"kg CO2e/2022 USD, purchaser price",0.442,0.04,0.482,311300
"311,411","Frozen Fruit, Juice, and Vegetable Manufacturing",All GHGs,"kg CO2e/2022 USD, purchaser price",0.438,0.0,0.48,311410
"311,412",Frozen Specialty Food Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.438,0.05,0.485,311410
"311,421",Fruit and Vegetable Canning,All GHGs,"kg CO2e/2022 USD, purchaser price",0.343,0.0,0.38,311420
"311,422",Specialty Canning,All GHGs,"kg CO2e/2022 USD, purchaser price",0.343,0.04,0.381,311420
"311,423",Dried and Dehydrated Food Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.343,0.04,0.381,311420
"311,511",Fluid Milk Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.766,0.037,0.803,31151A
"311,512",Creamery Butter Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.766,0.037,0.8,31151A
"311,513",Cheese Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.936,0.0,0.97,311513
"311,514","Dry, Condensed, and Evaporated Dairy Product Manufacturin",All GHGs,"kg CO2e/2022 USD, purchaser price",0.605,0.04,0.642,311514
"311,520",Ice Cream and Frozen Dessert Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.55,0.03,0.58,311520
"311,611",Animal (except Poultry) Slaughtering,All GHGs,"kg CO2e/2022 USD, purchaser price",1.086,0.033,1.12,31161A
"311,612",Meat Processed from Carcasses,All GHGs,"kg CO2e/2022 USD, purchaser price",1.086,0.033,1.12,31161A
"311,613",Rendering and Meat Byproduct Processing,All GHGs,"kg CO2e/2022 USD, purchaser price",1.086,0.033,1.12,31161A
"311,615",Poultry Processing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.361,0.0,0.391,311610
"311,710",Seafood Product Preparation and Packaging,All GHGs,"kg CO2e/2022 USD, purchaser price",0.239,0.0,0.266,311700
"311,811",Retail Bakeries,All GHGs,"kg CO2e/2022 USD, purchaser price",0.213,0.0,0.253,311810
"311,812",Commercial Bakeries,All GHGs,"kg CO2e/2022 USD, purchaser price",0.213,0.04,0.253,311810
"311,813","Frozen Cakes, Pies, and Other Pastries Manufacturing",All GHGs,"kg CO2e/2022 USD, purchaser price",0.213,0.04,0.253,311810
"311,821",Cookie and Cracker Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.31,0.047,0.356,31180A
"311,824","Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour",All GHGs,"kg CO2e/2022 USD, purchaser price",0.31,0.0,0.356,31180A
"311,830",Tortilla Manufacturing,All GHG,"kg CO2e/2022 USD, purchaser price",0.31,0.0,0.356,31180A
"311,911",Roasted Nuts and Peanut Butter Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.329,0.044,0.372,311910
"311,919",Other Snack Food Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.329,0.0,0.37,311910
"311,920",Coffee and Tea Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.313,0.0,0.353,311920
"311,930",Flavoring Syrup and Concentrate Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.195,0.021,0.216,311930
"311,942",Spice and Extract Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.303,0.0,0.344,311940
"311,942",Spice and Extract Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.303,0.0,0.344,311940
"311,991",Perishable Prepared Food Manufacturin,All GHGs,"kg CO2e/2022 USD, purchaser price",0.358,0.04,0.401,311990
"311,999",All Other Miscellaneous Food Manufacturin,All GHGs,"kg CO2e/2022 USD, purchaser price",0.358,0.042,0.4,311990
"312,111",Soft Drink Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.173,0.042,0.214,312110
"312,112",Bottled Water Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.173,0.0,0.21,312110
"312,113",Ice Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.173,0.0,0.214,312110
"312,120",Breweries,All GHGs,"kg CO2e/2022 USD, purchaser price",0.209,0.066,0.274,312120
"312,120",Breweries,All GHGs,"kg CO2e/2022 USD, purchaser price",0.209,0.07,0.274,312120
"312,130",Wineries,All GHGs,"kg CO2e/2022 USD, purchaser price",0.123,0.1,0.182,312130
"312,140",Distilleries,All GHGs,"kg CO2e/2022 USD, purchaser price",0.242,0.062,0.305,312140
"312,230",Tobacco Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.055,0.0,0.101,312200
"313,110","Fiber, Yarn, and Thread Mills",All GHGs,"kg CO2e/2022 USD, purchaser price",0.636,0.023,0.66,313100
"313,110","Fiber, Yarn, and Thread Mills",All GHGs,"kg CO2e/2022 USD, purchaser price",0.636,0.02,0.66,313100
"313,210",Broadwoven Fabric Mill,All GHGs,"kg CO2e/2022 USD, purchaser price",0.48,0.0,0.51,313200
"313,210",Broadwoven Fabric Mills,All GHGs,"kg CO2e/2022 USD, purchaser price",0.48,0.0,0.51,313200
"313,220",Narrow Fabric Mills and Schiffli Machine Embroidery,All GHGs,"kg CO2e/2022 USD, purchaser price",0.48,0.027,0.507,313200
"313,240",Knit Fabric Mill,All GHGs,"kg CO2e/2022 USD, purchaser price",0.48,0.03,0.507,313200
"313,310",Textile and Fabric Finishing Mills,All GHGs,"kg CO2e/2022 USD, purchaser price",0.37,0.026,0.4,313300
"313,320",Fabric Coating Mills,All GHG,"kg CO2e/2022 USD, purchaser price",0.37,0.03,0.4,313300
"314,110",Carpet and Rug Mills,All GHGs,"kg CO2e/2022 USD, purchaser price",0.224,0.068,0.292,314110
"314,120",Curtain and Linen Mill,All GHGs,"kg CO2e/2022 USD, purchaser price",0.206,0.06,0.27,314120
"314,120",Curtain and Linen Mills,All GHGs,"kg CO2e/2022 USD, purchaser price",0.206,0.061,0.27,314120
"314,910",Textile Bag and Canvas Mills,All GHG,"kg CO2e/2022 USD, purchaser price",0.197,0.0,0.24,314900
"314,910",Textile Bag and Canvas Mills,All GHG,"kg CO2e/2022 USD, purchaser price",0.197,0.0,0.24,314900
"314,994","Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills",All GHGs,"kg CO2e/2022 USD, purchaser price",0.197,0.046,0.243,314900
"314,999",All Other Miscellaneous Textile Product Mills,All GHGs,"kg CO2e/2022 USD, purchaser price",0.197,0.05,0.243,314900
"315,110",Hosiery and Sock Mills,All GHGs,"kg CO2e/2022 USD, purchaser price",0.06,0.06,0.12,315000
"315,190",Other Apparel Knitting Mills,All GHGs,"kg CO2e/2022 USD, purchaser price",0.06,0.06,0.12,315000
"315,210",Cut and Sew Apparel Contractors,All GHGs,"kg CO2e/2022 USD, purchaser price",0.06,0.06,0.12,315000
"315,220",Men's and Boys' Cut and Sew Apparel Manufacturin,All GHGs,"kg CO2e/2022 USD, purchaser price",0.06,0.06,0.12,315000
"315,240","Women's, Girls', and Infants' Cut and Sew Apparel Manufacturing",All GHG,"kg CO2e/2022 USD, purchaser price",0.06,0.1,0.12,315000
"315,280",Other Cut and Sew Apparel Manufacturin,All GHGs,"kg CO2e/2022 USD, purchaser price",0.06,0.06,0.12,315000
"315,990",Apparel Accessories and Other Apparel Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.06,0.06,0.12,315000
"316,110",Leather and Hide Tanning and Finishing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.222,0.06,0.282,316000
"316,210",Footwear Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.222,0.1,0.282,316000
"316,992",Women's Handbag and Purse Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.222,0.06,0.282,316000
"321,113",Sawmills,All GHGs,"kg CO2e/2022 USD, purchaser price",0.227,0.037,0.26,321100
"321,114",Wood Preservation,All GHGs,"kg CO2e/2022 USD, purchaser price",0.227,0.0,0.26,321100
"321,211",Hardwood Veneer and Plywood Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.187,0.021,0.21,321200
"321,212",Softwood Veneer and Plywood Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.187,0.021,0.208,321200
"321,213",Engineered Wood Member (except Truss) Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.187,0.021,0.208,321200
"321,214",Truss Manufacturing,All GHG,"kg CO2e/2022 USD, purchaser price",0.187,0.0,0.208,321200
"321,219",Reconstituted Wood Product Manufacturin,All GHGs,"kg CO2e/2022 USD, purchaser price",0.187,0.021,0.208,321200
"321,911",Wood Window and Door Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.122,0.031,0.154,321910
"321,912","Cut Stock, Resawing Lumber, and Planing",All GHGs,"kg CO2e/2022 USD, purchaser price",0.122,0.031,0.15,321910
"321,918",Other Millwork (including Flooring,All GHGs,"kg CO2e/2022 USD, purchaser price",0.122,0.03,0.15,321910
"321,920",Wood Container and Pallet Manufacturin,All GHGs,"kg CO2e/2022 USD, purchaser price",0.135,0.0,0.164,32190A
"321,991",Manufactured Home (Mobile Home) Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.135,0.029,0.164,32190A
"321,992",Prefabricated Wood Building Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.135,0.029,0.16,32190A
"321,999",All Other Miscellaneous Wood Product Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.135,0.0,0.164,32190A
"322,110",Pulp Mills,All GHGs,"kg CO2e/2022 USD, purchaser price",0.977,0.03,1.002,322110
"322,121",Paper (except Newsprint) Mills,All GHG,"kg CO2e/2022 USD, purchaser price",0.603,0.0,0.649,322120
